Version,Build,WindowsVersion,ReleaseDate
6.0,6000,Vista,2007/01/30
6.0,6001,Vista SP1 / Server 2008,2008/03/18
6.0,6002,Vista SP2 / Server 2008 SP2,2009/05/26
6.1,7600,7 / Server 2008 R2,2009/10/22
6.1,7601,7 SP1 / Server 2008 R2 SP1,2011/02/22
6.02,9200,8 / Server 2012,2012/10/26
6.2,9200,8 / Server 2012,2012/10/26
6.03,9600,8.1 / Server 2012 R2,2013/10/17
6.3,9600,8.1 / Server 2012 R2,2013/10/17
10.0,10240,10 (1507),2015/07/29
10.0,14393,Server 2016,2016/10/12
10.0,16299,10 (1709),2017/10/17
10.0,17134,10 (1803),2018/04/30
10.0,17763,Server 2019,2018/10/02
10.0,18362,10 (1903),2019/05/21
10.0,19041,10 (2004),2020/05/27
10.0,19042,10 (20H2),2020/10/20
10.0,19043,10 (21H1),2021/05/18
10.0,19044,10 (21H2),2021/10/05
10.0,19045,10 (22H1),2022/05/10
10.0,19046,10 (22H2),2022/09/20
10.0,20348,Server 2022,2021/08/18
10.0,22000,11 (21H2),2021/10/05
10.0,22621,11 (22H2),2022/09/20
10.0,22631,11 (23H2),2023/10/31
10.0,26100,11 (24H2) / Server 2025,2024/10/01
